"","0","500","1000","1500","2000","3000","4000","5000","10000","20000","30000","50000","1e+05"
"Bluethroat_Wrasse",NA,71,79,84,86,90,92,93,96,98,99,99,100
"Harlequin",NA,35,55,65,70,78,82,85,92,96,97,98,99
"Silver_Trevally",NA,20,33,45,52,62,69,73,85,92,94,97,98
"Snapper",NA,18,21,23,25,29,33,36,51,68,76,84,91
"Western_Blue_Groper",NA,9,23,36,43,55,63,69,82,90,93,96,98
"Yellowtail_Kingfish",NA,58,62,65,67,71,74,77,84,90,93,96,98
"Southern_Eagle_Ray",NA,30,32,35,37,41,44,47,60,73,80,87,93
"Bronze_Whaler",NA,22,22,22,22,23,23,24,27,32,37,45,58
"Dusky_Whaler",NA,13,13,13,13,14,14,14,15,18,21,26,38
"White_Shark",NA,4,6,9,11,15,19,22,38,58,67,77,87
