"","0","500","1000","1500","2000","3000","4000","5000","10000","20000","30000","50000","1e+05"
"Bluethroat_Wrasse",NA,8,25,42,49,62,70,75,86,93,95,97,99
"Harlequin",NA,12,24,40,48,61,69,74,86,93,95,97,98
"Silver_Trevally",NA,0,0,15,25,40,50,56,73,85,90,94,97
"Snapper",NA,0,0,0,1,2,3,5,17,39,54,70,84
"Western_Blue_Groper",NA,2,5,13,20,36,48,56,75,86,91,94,97
"Yellowtail_Kingfish",NA,0,1,7,10,18,24,29,45,65,74,83,91
"Southern_Eagle_Ray",NA,0,1,2,3,5,7,9,17,40,55,70,84
"Bronze_Whaler",NA,0,0,0,0,0,0,0,1,4,8,15,28
"Dusky_Whaler",NA,0,0,0,0,0,0,0,1,2,3,5,10
"White_Shark",NA,0,1,3,5,8,11,13,22,44,57,70,82
