"","0","500","1000","1500","2000","3000","4000","5000","10000","20000","30000","50000","1e+05"
"Bluethroat_Wrasse",NA,11,32,48,55,66,73,77,88,94,96,97,99
"Harlequin",NA,12,27,43,51,63,71,76,87,93,95,97,99
"Silver_Trevally",NA,0,1,17,26,41,51,57,74,86,90,94,97
"Snapper",NA,0,0,0,1,2,4,5,19,41,56,71,84
"Western_Blue_Groper",NA,2,6,15,22,39,49,57,75,87,91,94,97
"Yellowtail_Kingfish",NA,0,3,9,13,20,27,32,49,68,77,85,92
"Southern_Eagle_Ray",NA,0,1,2,3,5,8,10,20,44,58,72,85
"Bronze_Whaler",NA,0,0,0,0,0,0,0,1,5,9,16,29
"Dusky_Whaler",NA,0,0,0,0,0,0,0,1,2,3,5,10
"White_Shark",NA,0,1,3,5,8,11,13,23,45,57,70,82
