"","0","500","1000","1500","2000","3000","4000","5000","10000","20000","30000","50000","1e+05"
"Bluethroat_Wrasse",NA,29,49,61,66,74,79,83,91,95,97,98,99
"Harlequin",NA,14,34,50,56,67,74,78,88,94,96,97,99
"Silver_Trevally",NA,0,6,22,30,44,54,60,76,87,91,95,97
"Snapper",NA,0,0,1,2,4,6,9,25,48,61,74,86
"Western_Blue_Groper",NA,2,8,19,28,43,53,60,77,88,92,95,97
"Yellowtail_Kingfish",NA,10,15,22,25,33,39,44,61,76,83,89,94
"Southern_Eagle_Ray",NA,1,2,4,5,8,11,14,30,52,65,76,87
"Bronze_Whaler",NA,0,0,0,0,0,1,1,2,7,11,19,34
"Dusky_Whaler",NA,0,0,0,0,0,0,0,1,2,3,5,13
"White_Shark",NA,0,1,4,5,8,11,14,24,47,59,71,83
