"","0","500","1000","1500","2000","3000","4000","5000","10000","20000","30000","50000","1e+05"
"Bluethroat_Wrasse",NA,83,88,91,92,94,95,96,98,99,99,100,100
"Harlequin",NA,83,88,91,92,95,95,96,98,99,99,100,100
"Silver_Trevally",NA,80,84,87,89,91,93,94,96,98,99,99,100
"Snapper",NA,75,76,77,78,80,81,83,87,91,94,96,98
"Western_Blue_Groper",NA,53,63,69,73,79,82,85,91,95,97,98,99
"Yellowtail_Kingfish",NA,79,82,83,84,86,87,89,93,95,97,98,99
"Southern_Eagle_Ray",NA,68,69,71,72,74,75,77,83,89,91,94,97
"Bronze_Whaler",NA,36,36,37,37,37,38,38,41,46,50,56,67
"Dusky_Whaler",NA,36,36,36,36,37,37,37,39,42,44,49,58
"White_Shark",NA,30,33,36,38,42,46,49,61,74,80,86,92
