"","0","500","1000","1500","2000","3000","4000","5000","10000","20000","30000","50000","1e+05"
"Bluethroat_Wrasse",NA,13,20,29,35,47,56,61,76,87,91,94,97
"Harlequin",NA,0,0,3,8,26,36,46,68,82,88,92,96
"Silver_Trevally",NA,0,0,0,0,2,9,19,47,69,78,86,93
"Snapper",NA,0,0,0,0,0,0,0,1,14,31,50,71
"Western_Blue_Groper",NA,0,0,0,0,2,12,22,50,72,80,87,94
"Yellowtail_Kingfish",NA,7,9,10,10,12,14,15,26,47,59,72,84
"Southern_Eagle_Ray",NA,0,0,1,1,1,1,1,4,18,34,53,72
"Bronze_Whaler",NA,0,0,0,0,0,0,0,0,0,0,1,2
"Dusky_Whaler",NA,0,0,0,0,0,0,0,0,0,0,0,0
"White_Shark",NA,0,0,0,0,0,0,0,0,1,12,35,60
