"","0","500","1000","1500","2000","3000","4000","5000","10000","20000","30000","50000","1e+05"
"Bluethroat_Wrasse",NA,9,30,47,54,65,72,77,87,93,96,97,99
"Harlequin",NA,16,36,51,58,69,75,79,89,94,96,98,99
"Silver_Trevally",NA,0,9,25,33,47,55,62,78,88,92,95,97
"Snapper",NA,0,0,1,1,3,6,9,25,48,61,74,86
"Western_Blue_Groper",NA,2,7,18,26,42,52,59,77,87,91,95,97
"Yellowtail_Kingfish",NA,0,4,10,13,21,27,32,50,69,78,86,93
"Southern_Eagle_Ray",NA,0,1,2,3,6,8,10,23,47,61,74,86
"Bronze_Whaler",NA,0,0,0,0,0,0,0,1,5,8,16,28
"Dusky_Whaler",NA,0,0,0,0,0,0,0,1,2,3,5,10
"White_Shark",NA,0,1,3,5,8,11,14,23,46,58,70,83
