"","0","500","1000","1500","2000","3000","4000","5000","10000","20000","30000","50000","1e+05"
"Bluethroat_Wrasse",NA,0,2,6,11,27,37,46,67,82,88,92,96
"Harlequin",NA,0,0,0,2,19,32,41,65,81,87,92,96
"Silver_Trevally",NA,0,0,0,0,0,2,13,43,67,76,85,92
"Snapper",NA,0,0,0,0,0,0,0,0,5,24,46,68
"Western_Blue_Groper",NA,0,0,0,0,0,8,19,48,71,79,87,93
"Yellowtail_Kingfish",NA,0,0,0,0,0,0,1,5,29,45,62,79
"Southern_Eagle_Ray",NA,0,0,0,0,0,0,0,0,6,25,46,68
"Bronze_Whaler",NA,0,0,0,0,0,0,0,0,0,0,0,0
"Dusky_Whaler",NA,0,0,0,0,0,0,0,0,0,0,0,0
"White_Shark",NA,0,0,0,0,0,0,0,0,0,8,32,59
